word	valence	arousal	dominance	goodness	energy	structure	power	danger
bipolar	-0.29202	0.185034	-0.074155	-0.315544	0.159039	0.012293	-0.110665	0.335581
birch	0.06198	-0.153966	-0.118155	0.019643	-0.200966	0.027105	-0.128214	-0.155994
birches	0.06198	-0.153966	-0.118155	0.019643	-0.200966	0.027105	-0.128214	-0.155994
bird	0.22898	-0.142966	-0.136155	0.15357	-0.228285	0.125344	-0.052831	-0.270013
birdcage	-0.02002	-0.101966	-0.182155	-0.089754	-0.179678	0.060318	-0.190518	-0.063586
birdcages	-0.02002	-0.101966	-0.182155	-0.089754	-0.179678	0.060318	-0.190518	-0.063586
birdie	0.09398	-0.105966	-0.093155	0.052148	-0.152915	0.051345	-0.071253	-0.145002
birdies	0.09398	-0.105966	-0.093155	0.052148	-0.152915	0.051345	-0.071253	-0.145002
birdman	-0.01002	0.067034	0.103845	0.031326	0.113198	-0.039782	0.102194	0.057892
birdmen	-0.01002	0.067034	0.103845	0.031326	0.113198	-0.039782	0.102194	0.057892
birds	0.22898	-0.142966	-0.136155	0.15357	-0.228285	0.125344	-0.052831	-0.270013
birth	0.39598	0.155034	0.035845	0.336106	0.08418	0.249133	0.297187	-0.178139
birthday	0.46898	0.344034	0.074845	0.389705	0.24961	0.360177	0.452064	-0.099062
birthdays	0.46898	0.344034	0.074845	0.389705	0.24961	0.360177	0.452064	-0.099062
birthing	0.29598	0.377034	0.018845	0.208401	0.274073	0.334016	0.341161	0.046437
birthings	0.29598	0.377034	0.018845	0.208401	0.274073	0.334016	0.341161	0.046437
birthmark	0.12998	-0.038966	-0.000155	0.118006	-0.052965	0.041018	0.045991	-0.120895
birthmarks	0.12998	-0.038966	-0.000155	0.118006	-0.052965	0.041018	0.045991	-0.120895
birthplace	0.28098	-0.209966	-0.009155	0.269625	-0.223011	0.026221	0.032962	-0.348346
birthplaces	0.28098	-0.209966	-0.009155	0.269625	-0.223011	0.026221	0.032962	-0.348346
birthright	0.18398	-0.082966	0.213845	0.274236	0.018129	-0.104536	0.206733	-0.181095
birthrights	0.18398	-0.082966	0.213845	0.274236	0.018129	-0.104536	0.206733	-0.181095
bis	-0.06002	-0.079966	-0.155155	-0.114589	-0.140511	0.034586	-0.180383	-0.018329
biscuit	0.38798	-0.239966	-0.269155	0.241355	-0.405774	0.240107	-0.116262	-0.457589
biscuits	0.38798	-0.239966	-0.269155	0.241355	-0.405774	0.240107	-0.116262	-0.457589
bisexual	-0.06202	0.265034	-0.041155	-0.112956	0.206246	0.143132	0.065965	0.22571
bisexuals	-0.06202	0.265034	-0.041155	-0.112956	0.206246	0.143132	0.065965	0.22571
bishop	0.09398	-0.315966	0.224845	0.236594	-0.153786	-0.282126	0.058554	-0.276041
bishops	0.09398	-0.315966	0.224845	0.236594	-0.153786	-0.282126	0.058554	-0.276041
bison	0.07298	-0.066966	0.056845	0.100397	-0.036075	-0.040754	0.045483	-0.0965
bisons	0.07298	-0.066966	0.056845	0.100397	-0.036075	-0.040754	0.045483	-0.0965
bisque	0.19298	-0.056966	-0.188155	0.084602	-0.179779	0.190816	-0.0673	-0.186946
bistro	0.09398	-0.027966	-0.104155	0.035205	-0.094525	0.101431	-0.041946	-0.091733
bistros	0.09398	-0.027966	-0.104155	0.035205	-0.094525	0.101431	-0.041946	-0.091733
bit	-0.07302	-0.189966	-0.275155	-0.167159	-0.294243	0.051072	-0.32626	-0.089862
bitch	-0.22402	0.240034	-0.157155	-0.304983	0.148576	0.131946	-0.110596	0.320715
bitches	-0.22402	0.240034	-0.157155	-0.304983	0.148576	0.131946	-0.110596	0.320715
bitchy	-0.31202	0.200034	-0.127155	-0.360572	0.145874	0.047409	-0.151814	0.358111
bite	-0.28102	0.296034	0.009845	-0.282181	0.2944	0.02019	0.00864	0.407705
biter	-0.24002	0.098034	-0.000155	-0.222016	0.119082	-0.061226	-0.072785	0.241193
biters	-0.24002	0.098034	-0.000155	-0.222016	0.119082	-0.061226	-0.072785	0.241193
bites	-0.28102	0.296034	0.009845	-0.282181	0.2944	0.02019	0.00864	0.407705
biting	-0.28102	0.296034	0.009845	-0.282181	0.2944	0.02019	0.00864	0.407705
bits	-0.07302	-0.189966	-0.275155	-0.167159	-0.294243	0.051072	-0.32626	-0.089862
bitsy	0.00998	-0.111966	-0.118155	-0.031541	-0.15802	0.025131	-0.134039	-0.089434
bitten	-0.28102	0.296034	0.009845	-0.282181	0.2944	0.02019	0.00864	0.407705
bitter	-0.28202	0.127034	-0.089155	-0.305466	0.101461	-0.004204	-0.144254	0.287741
bitterly	-0.30602	0.185034	-0.138155	-0.358445	0.126578	0.049679	-0.163954	0.342963
bitterness	-0.38502	0.133034	-0.230155	-0.4632	0.046404	0.046933	-0.294719	0.360344
bitters	-0.28202	0.127034	-0.089155	-0.305466	0.101461	-0.004204	-0.144254	0.287741
bittersweet	-0.03102	0.069034	-0.026155	-0.049692	0.047725	0.040806	-0.001391	0.068884
bittersweets	-0.03102	0.069034	-0.026155	-0.049692	0.047725	0.040806	-0.001391	0.068884
bitty	-0.03102	-0.228966	-0.243155	-0.109655	-0.315772	0.027859	-0.300822	-0.145746
bitumen	-0.12502	-0.264966	-0.193155	-0.161395	-0.303375	-0.071143	-0.328642	-0.100395
bitumens	-0.12502	-0.264966	-0.193155	-0.161395	-0.303375	-0.071143	-0.328642	-0.100395
bitumina	-0.12502	-0.264966	-0.193155	-0.161395	-0.303375	-0.071143	-0.328642	-0.100395
biweeklies	0.08098	-0.162966	-0.045155	0.072539	-0.171848	-0.018995	-0.070222	-0.172808
biweekly	0.08098	-0.162966	-0.045155	0.072539	-0.171848	-0.018995	-0.070222	-0.172808
biz	-2e-05	-0.026966	-0.027155	-0.009063	-0.036965	0.003997	-0.032547	-0.01973
bizarre	-0.12102	0.120034	-0.108155	-0.174515	0.059705	0.082046	-0.081182	0.165618
blab	-0.06202	-0.074966	-0.147155	-0.113212	-0.13173	0.030844	-0.1732	-0.013094
blabbermouth	-0.17702	0.140034	-0.078155	-0.211425	0.101401	0.045508	-0.077799	0.221202
blabbermouths	-0.17702	0.140034	-0.078155	-0.211425	0.101401	0.045508	-0.077799	0.221202
blabs	-0.06202	-0.074966	-0.147155	-0.113212	-0.13173	0.030844	-0.1732	-0.013094
black	-0.17402	-0.160966	-0.110155	-0.17929	-0.164761	-0.095059	-0.243281	0.010274
black snake	-0.39602	0.360034	0.111845	-0.341959	0.42084	-0.070168	0.055777	0.53938
blackberries	0.16698	-0.086966	-0.047155	0.134504	-0.123947	0.064921	0.007465	-0.182753
blackberry	0.16698	-0.086966	-0.047155	0.134504	-0.123947	0.064921	0.007465	-0.182753
blackbird	0.01998	-0.159966	-0.095155	-0.004663	-0.186748	-0.012088	-0.135349	-0.128753
blackbirds	0.01998	-0.159966	-0.095155	-0.004663	-0.186748	-0.012088	-0.135349	-0.128753
blackboard	-0.03102	-0.244966	-0.213155	-0.092824	-0.312709	-0.001524	-0.286755	-0.155483
blackboards	-0.03102	-0.244966	-0.213155	-0.092824	-0.312709	-0.001524	-0.286755	-0.155483
blacken	-0.29202	3.4e-05	-0.272155	-0.383235	-0.100928	0.047843	-0.342355	0.199621
blackface	-0.19802	-0.009966	-0.059155	-0.198016	-0.008705	-0.059367	-0.146174	0.133863
blackjack	-0.08102	0.179034	-0.048155	-0.119894	0.134528	0.092	0.010348	0.179903
blackjacks	-0.08102	0.179034	-0.048155	-0.119894	0.134528	0.092	0.010348	0.179903
blacklist	-0.36702	0.250034	-0.104155	-0.404469	0.208367	0.03252	-0.138665	0.43334
blacklists	-0.36702	0.250034	-0.104155	-0.404469	0.208367	0.03252	-0.138665	0.43334
blackmail	-0.40602	0.302034	-0.018155	-0.404517	0.30411	-0.017021	-0.070999	0.501075
blackmailer	-0.40802	0.280034	-0.028155	-0.407773	0.280857	-0.023079	-0.089743	0.486935
blackmailers	-0.40802	0.280034	-0.028155	-0.407773	0.280857	-0.023079	-0.089743	0.486935
blackness	-0.24002	-0.019966	-0.094155	-0.249647	-0.02923	-0.060792	-0.197195	0.155858
blackout	-0.37402	0.030034	-0.151155	-0.400287	0.002496	-0.058353	-0.28128	0.284811
blackouts	-0.37402	0.030034	-0.151155	-0.400287	0.002496	-0.058353	-0.28128	0.284811
blacks	-0.17402	-0.160966	-0.110155	-0.17929	-0.164761	-0.095059	-0.243281	0.010274
blacksmith	-0.02002	0.031034	0.201845	0.075243	0.138217	-0.13168	0.150939	0.04453
blacksmiths	-0.02002	0.031034	0.201845	0.075243	0.138217	-0.13168	0.150939	0.04453
bladder	-0.09402	-0.087966	-0.170155	-0.149981	-0.149819	0.024301	-0.211991	0.000114
bladders	-0.09402	-0.087966	-0.170155	-0.149981	-0.149819	0.024301	-0.211991	0.000114
blade	-0.12202	0.102034	0.093845	-0.075447	0.154518	-0.06737	0.055912	0.16261
blades	-0.12202	0.102034	0.093845	-0.075447	0.154518	-0.06737	0.055912	0.16261
blame	-0.38502	0.140034	-0.191155	-0.44547	0.073321	0.023886	-0.263149	0.366841
blameless	0.25898	-0.303966	-0.157155	0.193414	-0.377285	0.066409	-0.130017	-0.403546
bland	-0.20002	-0.273966	-0.343155	-0.297038	-0.380152	-0.008594	-0.478846	-0.05877
blands	-0.20002	-0.273966	-0.343155	-0.297038	-0.380152	-0.008594	-0.478846	-0.05877
blank	0.03098	-0.270966	-0.250155	-0.053204	-0.364107	0.039434	-0.295084	-0.219842
blanket	0.23998	-0.367966	-0.109155	0.209669	-0.401037	-0.010615	-0.135317	-0.431834
blankets	0.23998	-0.367966	-0.109155	0.209669	-0.401037	-0.010615	-0.135317	-0.431834
blanks	0.03098	-0.270966	-0.250155	-0.053204	-0.364107	0.039434	-0.295084	-0.219842
blare	-0.06102	0.061034	0.018845	-0.052745	0.070304	-0.008892	0.012416	0.087009
blares	-0.06102	0.061034	0.018845	-0.052745	0.070304	-0.008892	0.012416	0.087009
blase	-0.08002	-0.189966	-0.088155	-0.083182	-0.191754	-0.081072	-0.194409	-0.076772
blasphemies	-0.35402	0.294034	-0.094155	-0.394997	0.248016	0.055827	-0.103932	0.454679
blasphemous	-0.29002	0.255034	-0.009155	-0.292978	0.251709	0.006629	-0.029181	0.385152
blasphemy	-0.35402	0.294034	-0.094155	-0.394997	0.248016	0.055827	-0.103932	0.454679
blast	-0.33302	0.429034	0.276845	-0.21842	0.557165	-0.116086	0.239529	0.548421
blaster	-0.04102	0.038034	0.053845	-0.015187	0.067112	-0.035971	0.036716	0.058194
blasters	-0.04102	0.038034	0.053845	-0.015187	0.067112	-0.035971	0.036716	0.058194
blastoff	-0.14302	0.365034	0.235845	-0.0645	0.45183	-0.031882	0.273884	0.365101
blastoffs	-0.14302	0.365034	0.235845	-0.0645	0.45183	-0.031882	0.273884	0.365101
blasts	-0.33302	0.429034	0.276845	-0.21842	0.557165	-0.116086	0.239529	0.548421
blatant	-0.17302	0.177034	0.174845	-0.091701	0.26844	-0.10667	0.124974	0.254659
blather	-0.15602	-0.018966	-0.118155	-0.1888	-0.054813	-0.003554	-0.172261	0.094743
blaze	0.19798	-0.032966	0.157845	0.251902	0.026791	-0.032022	0.197065	-0.159178
blazer	0.13498	-0.114966	-0.083155	0.093717	-0.161459	0.059156	-0.047901	-0.180437
blazers	0.13498	-0.114966	-0.083155	0.093717	-0.161459	0.059156	-0.047901	-0.180437
blazes	0.19798	-0.032966	0.157845	0.251902	0.026791	-0.032022	0.197065	-0.159178
blazing	0.09398	0.396034	0.234845	0.135083	0.439062	0.099018	0.405982	0.214946
